Code,Year,Deaths - Exposure to forces of nature %,Deaths - Under 5 ,Deaths -  Age: 5-14 years ,Deaths - Age: 15-49 years ,Deaths - Age: 50-69 years,Deaths - Age: 70+ years ,Deaths - No access to handwashing facility ,Deaths - Smoking,Deaths - Secondhand smoke,Deaths - Unsafe water source ,Deaths - Household air pollution from solid fuels ,Deaths - Air pollution ,Deaths Outdoor air pollution,IDDeath
ALB,2002,0.040158101,1280.380391,339.5773189,1984.263416,4075.832805,9758.557237,10.10835212,2971.644895,541.2473971,7.837641023,921.31518,1553.416625,649.88,2002ALB
ALB,2004,0.005552486,1024.064178,308.55159,1930.952397,4233.425522,10520.318,7.802275001,3157.682348,537.0967002,6.346128379,896.6381554,1577.259504,697.63,2004ALB
ALB,2003,0,1147.693334,326.7525935,1959.579056,4174.972044,10187.82251,8.881071299,3081.14926,542.0109882,6.905142362,918.2659699,1576.379509,675.57,2003ALB
ALB,2015,0.00482834,499.7048078,104.3781395,1391.081041,4751.773869,14067.0848,4.510946673,3969.522821,565.8658281,4.195118883,726.2740553,1610.578552,901.5,2015ALB
ALB,2016,0.009445133,483.3945628,98.82710286,1369.889958,4852.691692,14484.64642,4.496203423,4066.509719,578.6519357,4.080630784,737.1626712,1611.353458,891.58,2016ALB
ALB,2013,0,546.084192,123.4933075,1451.073449,4485.004477,13113.26126,4.529588562,3713.108075,536.4869656,4.464492804,722.947112,1544.039316,837.06,2013ALB
ALB,2012,0,571.9400891,136.0896596,1487.145991,4357.203914,12627.773,4.540286589,3582.079823,521.5344969,4.573722492,713.6091174,1514.209704,816.01,2012ALB
ALB,2014,0,524.9570074,111.8582514,1421.928828,4653.143759,13641.75875,4.532397766,3869.697735,553.1989523,4.321290792,734.9934249,1570.049046,851.57,2014ALB
ALB,2010,0.010999501,629.9171501,163.5883492,1555.676105,4150.568511,11709.82636,4.648930526,3335.402402,499.1485678,4.802752602,707.476549,1458.566692,765.42,2010ALB
ALB,2009,0,674.0690243,178.6390427,1590.995674,4107.37837,11320.88092,4.835070367,3253.347083,493.5838913,4.961786538,718.1184455,1446.467344,742.45,2009ALB
ALB,2007,0,778.7618133,219.5911519,1684.219246,4091.560909,10738.73931,5.502105149,3122.432838,492.412679,5.238184945,758.2139793,1446.142707,702.47,2007ALB
ALB,2006,0,856.3057254,249.1700978,1775.786667,4194.065662,10732.91756,6.167794181,3175.982353,515.4959629,5.487749398,822.9791223,1517.519881,710.02,2006ALB
ALB,2005,0.016804191,929.4937832,275.3312807,1851.857355,4234.053616,10570.3423,6.888943721,3172.708046,526.469096,5.94230829,866.8161777,1552.906152,702.31,2005ALB
ALB,2011,0,601.6432923,148.1737048,1513.743684,4251.842366,12178.60392,4.583173056,3469.749551,509.7650304,4.699012638,696.0183715,1515.251642,834.41,2011ALB
AND,2012,0,2.130089544,0.73578615,34.88915097,96.61133731,362.6743673,0.184100391,71.68970163,6.339504613,0.023228681,0.242268867,22.88882551,23.23,2012AND
AND,2008,0,2.797407052,0.808016439,41.21184573,100.5023305,361.3623928,0.178446755,78.95390321,6.844141216,0.021442551,0.288271574,24.23078359,24.55,2008AND
AND,2009,0,2.632291328,0.791275357,40.38370154,105.5882139,375.2004223,0.186612665,80.91407934,7.003878617,0.022737164,0.2851817,25.00797572,25.35,2009AND
AND,2010,0,2.457729568,0.778982683,39.68487572,108.2004441,384.4211537,0.191179537,81.94088746,7.082257828,0.023680203,0.280613418,25.39044274,25.75,2010AND
AND,2011,0,2.301356347,0.763497286,36.1722409,98.35290385,364.442053,0.183138896,74.26488387,6.496334618,0.022932805,0.245929017,24.02584588,24.39,2011AND
AND,2013,0,1.869385574,0.709590166,34.04758175,99.75900461,369.7299246,0.187716277,72.60626024,6.419998524,0.023916729,0.244205631,22.73890101,23.08,2013AND
AND,1990,0,4.14908445,0.962857476,33.26085409,76.06317953,161.8912267,0.077913565,50.71296526,5.358359207,0.008650193,0.528882772,15.50786667,15.28,1990AND
AND,2015,0,1.409659152,0.62366228,33.42059544,106.2945152,388.0145076,0.196502176,75.15658304,6.637151704,0.025481971,0.243751678,23.37884455,23.74,2015AND
AND,2016,0,1.368653277,0.622432746,33.08029176,110.187928,395.2712811,0.199642066,76.94589601,6.754425269,0.026019609,0.248912607,22.47458075,22.8,2016AND
AND,1991,0,4.364522667,0.952496853,36.2562969,78.63232125,175.2889607,0.085306621,53.42816608,5.581544812,0.009346925,0.517571982,16.38824235,16.19,1991AND
AND,2005,0,2.898499432,0.802234011,40.22991571,91.3971288,323.0895642,0.159025716,72.98331052,6.46788112,0.017881783,0.300972338,22.17185843,22.41,2005AND
AND,2007,0,2.865542404,0.815480091,41.20779109,95.95790074,347.8334593,0.170915512,76.66407092,6.686743055,0.02020808,0.286470241,23.42304654,23.72,2007AND
AND,2014,0,1.641537436,0.671495278,33.77662972,102.9749889,378.6759484,0.192010308,73.85076758,6.531040328,0.024697459,0.247431472,22.18859566,22.51,2014AND
AND,2006,0,2.8721659,0.815215411,40.84808681,92.80768891,332.451229,0.163009287,74.36726157,6.530786315,0.01885763,0.294316044,22.60224483,22.86,2006AND
