Code,Year,Access to clean fuels cooking %,IDCFA
CMR,2016,23.04,2016CMR
CAN,2000,100,2000CAN
CAN,2001,100,2001CAN
CAN,2002,100,2002CAN
CAN,2003,100,2003CAN
CAN,2004,100,2004CAN
CAN,2005,100,2005CAN
CAN,2006,100,2006CAN
CAN,2007,100,2007CAN
CAN,2008,100,2008CAN
CAN,2009,100,2009CAN
CAN,2010,100,2010CAN
CAN,2011,100,2011CAN
CAN,2012,100,2012CAN
CAN,2013,100,2013CAN
CAN,2014,100,2014CAN
CAN,2015,100,2015CAN
CAN,2016,100,2016CAN
CPV,2000,56.79,2000CPV
CPV,2001,58.2,2001CPV
CPV,2002,59.38,2002CPV
CPV,2003,60.37,2003CPV
CPV,2004,61.44,2004CPV
CPV,2005,62.64,2005CPV
CPV,2006,63.4,2006CPV
CPV,2007,64.56,2007CPV
CPV,2008,65.39,2008CPV
CPV,2009,66.33,2009CPV
CPV,2010,67.17,2010CPV
CPV,2011,67.96,2011CPV
CPV,2012,68.49,2012CPV
CPV,2013,69.48,2013CPV
CPV,2014,70.06,2014CPV
CPV,2015,70.63,2015CPV
CPV,2016,71.05,2016CPV
,2000,78.31280462,
,2001,79.48673597,
,2002,80.65096811,
,2003,81.63024042,
,2004,82.73997912,
,2005,83.65595522,
,2006,84.58534046,
,2007,85.53639208,
,2008,86.35572493,
,2009,87.18430933,
,2010,87.92795603,
,2011,88.66608617,
,2012,89.26001383,
,2013,89.87938087,
,2014,90.49331231,
,2015,91.01359416,
,2016,91.50592308,
CAF,2000,0.57,2000CAF
CAF,2001,0.6,2001CAF
CAF,2002,0.6,2002CAF
CAF,2003,0.61,2003CAF
CAF,2004,0.64,2004CAF
CAF,2005,0.63,2005CAF
CAF,2006,0.69,2006CAF
CAF,2007,0.68,2007CAF
CAF,2008,0.73,2008CAF
CAF,2009,0.74,2009CAF
CAF,2010,0.78,2010CAF
CAF,2011,0.82,2011CAF
CAF,2012,0.84,2012CAF
CAF,2013,0.84,2013CAF
CAF,2014,0.87,2014CAF
CAF,2015,0.92,2015CAF
CAF,2016,0.97,2016CAF
,2000,87.48015516,
,2001,88.50432954,
,2002,89.43214528,
,2003,90.25147649,
,2004,90.99610946,
,2005,91.59747821,
,2006,92.20707882,
,2007,92.75210601,
,2008,93.25737922,
,2009,93.66584261,
,2010,94.04423668,
,2011,94.36780808,
,2012,94.66495731,
,2013,94.88477918,
,2014,95.13822721,
,2015,95.33511189,
,2016,95.48535836,
TCD,2000,3.29,2000TCD
TCD,2001,3.26,2001TCD
TCD,2002,3.28,2002TCD
TCD,2003,3.21,2003TCD
TCD,2004,3.22,2004TCD
TCD,2005,3.21,2005TCD
TCD,2006,3.19,2006TCD
TCD,2007,3.16,2007TCD
TCD,2008,3.23,2008TCD
TCD,2009,3.19,2009TCD
TCD,2010,3.14,2010TCD
TCD,2011,3.15,2011TCD
TCD,2012,3.18,2012TCD
TCD,2013,3.15,2013TCD
TCD,2014,3.13,2014TCD
TCD,2015,3.13,2015TCD
TCD,2016,3.13,2016TCD
CHL,2000,86.1,2000CHL
CHL,2001,86.65,2001CHL
CHL,2002,87.33,2002CHL
CHL,2003,87.88,2003CHL
CHL,2004,88.52,2004CHL
CHL,2005,88.95,2005CHL
CHL,2006,89.38,2006CHL
CHL,2007,89.87,2007CHL
CHL,2008,90.21,2008CHL
CHL,2009,90.53,2009CHL
CHL,2010,90.8,2010CHL
CHL,2011,91.15,2011CHL
CHL,2012,91.39,2012CHL
CHL,2013,91.67,2013CHL
CHL,2014,91.91,2014CHL
CHL,2015,92,2015CHL
CHL,2016,92.28,2016CHL
CHN,2000,46.78,2000CHN
CHN,2001,47.95,2001CHN
CHN,2002,48.61,2002CHN
