Code,Year,Geothermal Capacity,IDGEOT
ITA,2013,729,2013ITA
ITA,2014,768,2014ITA
ITA,2015,768,2015ITA
ITA,2016,767,2016ITA
ITA,2017,767.19,2017ITA
ITA,2018,767.19,2018ITA
ITA,2019,800,2019ITA
JPN,1990,214.6,1990JPN
JPN,1995,413.7,1995JPN
JPN,2000,533,2000JPN
JPN,2001,533,2001JPN
JPN,2002,533,2002JPN
JPN,2003,535,2003JPN
JPN,2004,535,2004JPN
JPN,2005,535,2005JPN
JPN,2006,532,2006JPN
JPN,2007,532,2007JPN
JPN,2008,532,2008JPN
JPN,2009,535,2009JPN
JPN,2010,537,2010JPN
JPN,2011,537,2011JPN
JPN,2012,512,2012JPN
JPN,2013,512,2013JPN
JPN,2014,508,2014JPN
JPN,2015,516,2015JPN
JPN,2016,526,2016JPN
JPN,2017,481,2017JPN
JPN,2018,482,2018JPN
JPN,2019,525,2019JPN
KEN,1990,45,1990KEN
KEN,1995,45,1995KEN
KEN,2000,58,2000KEN
KEN,2001,58,2001KEN
KEN,2002,58,2002KEN
KEN,2003,58,2003KEN
KEN,2004,128,2004KEN
KEN,2005,128,2005KEN
KEN,2006,128,2006KEN
KEN,2007,128,2007KEN
KEN,2008,128,2008KEN
KEN,2009,163,2009KEN
KEN,2010,198,2010KEN
KEN,2011,198,2011KEN
KEN,2012,205.5,2012KEN
KEN,2013,205.5,2013KEN
KEN,2014,366.1,2014KEN
KEN,2015,618.9,2015KEN
KEN,2016,662.9,2016KEN
KEN,2017,672.9,2017KEN
KEN,2018,663,2018KEN
KEN,2019,823,2019KEN
MEX,1990,743,1990MEX
MEX,1995,743,1995MEX
MEX,2000,855,2000MEX
MEX,2001,838,2001MEX
MEX,2002,843,2002MEX
MEX,2003,960,2003MEX
MEX,2004,960,2004MEX
MEX,2005,960,2005MEX
MEX,2006,960,2006MEX
MEX,2007,960,2007MEX
MEX,2008,963,2008MEX
MEX,2009,965,2009MEX
MEX,2010,965,2010MEX
MEX,2011,887,2011MEX
MEX,2012,824,2012MEX
MEX,2013,823,2013MEX
MEX,2014,813,2014MEX
MEX,2015,906,2015MEX
MEX,2016,926,2016MEX
MEX,2017,925.7,2017MEX
MEX,2018,950.6,2018MEX
MEX,2019,935.6,2019MEX
NZL,1990,261,1990NZL
NZL,1995,265,1995NZL
NZL,2000,418,2000NZL
NZL,2001,417,2001NZL
NZL,2002,373,2002NZL
NZL,2003,378,2003NZL
NZL,2004,378,2004NZL
NZL,2005,433,2005NZL
NZL,2006,433,2006NZL
NZL,2007,451,2007NZL
NZL,2008,593,2008NZL
NZL,2009,633,2009NZL
NZL,2010,731,2010NZL
NZL,2011,731,2011NZL
NZL,2012,731,2012NZL
NZL,2013,813,2013NZL
NZL,2014,924,2014NZL
NZL,2015,941,2015NZL
NZL,2016,941,2016NZL
NZL,2017,941,2017NZL
NZL,2018,965,2018NZL
NZL,2019,965,2019NZL
NIC,1990,35,1990NIC
NIC,1995,70,1995NIC
NIC,2000,21,2000NIC
NIC,2001,26,2001NIC
NIC,2002,77.5,2002NIC
NIC,2003,77.5,2003NIC
NIC,2004,77.5,2004NIC
NIC,2005,87.5,2005NIC
NIC,2006,87.5,2006NIC
NIC,2007,87.5,2007NIC
NIC,2008,87.5,2008NIC
NIC,2009,87.5,2009NIC
NIC,2010,87.5,2010NIC
NIC,2011,87.5,2011NIC
NIC,2012,164.5,2012NIC
NIC,2013,154.5,2013NIC
NIC,2014,154.5,2014NIC
NIC,2015,154.5,2015NIC
NIC,2016,154.5,2016NIC
NIC,2017,154.5,2017NIC
NIC,2018,154.5,2018NIC
NIC,2019,153.24,2019NIC
,1990,3656.5,
,1995,3913.96,
,2000,3648,
,2001,3054,
,2002,3095,
,2003,3093,
,2004,3112,
,2005,3245,
,2006,3234,
,2007,3174,
,2008,3192,
,2009,3347,
,2010,3370,
,2011,3296,
,2012,3416,
,2013,3430,
,2014,3327,
,2015,3448,
,2016,3443,
,2017,3408.7,
,2018,3491.1,
,2019,3490.9,
,1990,0.5,
,1995,0.5,
,2000,0.5,
,2001,0.5,
,2002,0.5,
,2003,0.4,
,2004,0.4,
,2005,0.5,
,2006,0.4,
,2007,0.4,
,2008,0.4,
,2009,0.4,
,2010,0.4,
,2011,0.4,
,2012,0.4,
,2013,0.4,
,2014,0.4,
,2015,0.4,
,2016,0.4,
,2017,0.4,
,2018,0.33,
,2019,1.16,
,1990,0,
,1995,0,
