Code,Year,ValPol,IDO
BTN,2013,41.88190701,2013BTN
BTN,2014,40.83967373,2014BTN
BTN,2015,39.81863873,2015BTN
BTN,2016,37.22436394,2016BTN
BTN,2017,37.9265032,2017BTN
BWA,2010,25.72472072,2010BWA
BWA,2011,24.59211459,2011BWA
BWA,2012,24.85403894,2012BWA
BWA,2013,24.87425931,2013BWA
BWA,2014,24.15127779,2014BWA
BWA,2015,24.33025796,2015BWA
BWA,2016,23.63126742,2016BWA
BWA,2017,23.09438618,2017BWA
CAF,2010,51.53331961,2010CAF
CAF,2011,51.22953137,2011CAF
CAF,2012,53.35883384,2012CAF
CAF,2013,50.87491368,2013CAF
CAF,2014,49.35636376,2014CAF
CAF,2015,58.32609851,2015CAF
CAF,2016,56.98542248,2016CAF
CAF,2017,56.82849738,2017CAF
CAN,2010,8.384457262,2010CAN
CAN,2011,8.62446106,2011CAN
CAN,2012,8.107410495,2012CAN
CAN,2013,7.791636125,2013CAN
CAN,2014,7.428419864,2014CAN
CAN,2015,7.151582145,2015CAN
CAN,2016,6.549074761,2016CAN
CAN,2017,6.428383133,2017CAN
CEB,2010,21.98802866,2010CEB
CEB,2011,21.90983004,2011CEB
CEB,2012,20.20362489,2012CEB
CEB,2013,19.22537578,2013CEB
CEB,2014,18.60919623,2014CEB
CEB,2015,18.99410846,2015CEB
CEB,2016,17.64108568,2016CEB
CEB,2017,17.63332812,2017CEB
CHE,2010,12.92221973,2010CHE
CHE,2011,13.04922122,2011CHE
CHE,2012,12.26138801,2012CHE
CHE,2013,11.82005499,2013CHE
CHE,2014,11.38910719,2014CHE
CHE,2015,11.16525468,2015CHE
CHE,2016,10.34263047,2016CHE
CHE,2017,10.3031001,2017CHE
CHL,2010,25.89229169,2010CHL
CHL,2011,27.24586707,2011CHL
CHL,2012,25.0471553,2012CHL
CHL,2013,23.9366936,2013CHL
CHL,2014,22.86825181,2014CHL
CHL,2015,22.56979255,2015CHL
CHL,2016,20.87687041,2016CHL
CHL,2017,21.03629906,2017CHL
CHN,2010,69.47957041,2010CHN
CHN,2011,70.54202883,2011CHN
CHN,2012,63.82701684,2012CHN
CHN,2013,65.51455022,2013CHN
CHN,2014,59.76736751,2014CHN
CHN,2015,59.06342246,2015CHN
CHN,2016,52.21132204,2016CHN
CHN,2017,52.66459583,2017CHN
CIV,2010,21.617705,2010CIV
CIV,2011,22.59307255,2011CIV
CIV,2012,22.49440447,2012CIV
CIV,2013,21.30554316,2013CIV
CIV,2014,20.90017764,2014CIV
CIV,2015,27.68749396,2015CIV
CIV,2016,26.67470411,2016CIV
CIV,2017,25.88626634,2017CIV
CMR,2010,59.29340315,2010CMR
CMR,2011,58.07690148,2011CMR
CMR,2012,62.776697,2012CMR
CMR,2013,58.18633815,2013CMR
CMR,2014,56.71530558,2014CMR
CMR,2015,77.05174298,2015CMR
CMR,2016,73.20529127,2016CMR
CMR,2017,72.79309622,2017CMR
COD,2010,41.39803933,2010COD
COD,2011,41.49328795,2011COD
COD,2012,43.03677157,2012COD
COD,2013,44.49576095,2013COD
COD,2014,42.5494471,2014COD
COD,2015,44.93118592,2015COD
COD,2016,45.49950018,2016COD
COD,2017,44.9092636,2017COD
COG,2010,42.00909211,2010COG
COG,2011,44.15559345,2011COG
COG,2012,43.48998719,2012COG
COG,2013,46.12663732,2013COG
COG,2014,45.85281627,2014COG
COG,2015,44.14769514,2015COG
COG,2016,45.7110424,2016COG
COG,2017,46.63822028,2017COG
COL,2010,21.49784542,2010COL
COL,2011,21.36777875,2011COL
COL,2012,20.53663622,2012COL
COL,2013,19.22334802,2013COL
COL,2014,18.34420526,2014COL
COL,2015,17.30028428,2015COL
COL,2016,16.58060037,2016COL
COL,2017,16.52721022,2017COL
COM,2010,20.66635788,2010COM
COM,2011,21.02016044,2011COM
COM,2012,21.2526292,2012COM
COM,2013,21.04796184,2013COM
COM,2014,21.50207199,2014COM
COM,2015,20.71555746,2015COM
COM,2016,20.48272773,2016COM
COM,2017,20.5468246,2017COM
CPV,2010,27.59644067,2010CPV
CPV,2011,31.64177817,2011CPV
CPV,2012,32.94099303,2012CPV
CPV,2013,32.08584342,2013CPV
CPV,2014,31.62108111,2014CPV
CPV,2015,38.63361366,2015CPV
CPV,2016,33.39233075,2016CPV
CPV,2017,34.7787001,2017CPV
CRI,2010,19.27295272,2010CRI
CRI,2011,19.70213293,2011CRI
CRI,2012,19.33512768,2012CRI
CRI,2013,18.34151711,2013CRI
CRI,2014,17.54363411,2014CRI
CRI,2015,16.87928994,2015CRI
CRI,2016,15.65581227,2016CRI
CRI,2017,15.7259203,2017CRI
CSS,2010,22.88005336,2010CSS
CSS,2011,23.60446581,2011CSS
CSS,2012,22.17649531,2012CSS
CSS,2013,21.45641474,2013CSS
CSS,2014,19.96653424,2014CSS
CSS,2015,20.0873846,2015CSS
CSS,2016,19.10237782,2016CSS
CSS,2017,19.00983013,2017CSS
CUB,2010,23.93329773,2010CUB
CUB,2011,24.78731963,2011CUB
CUB,2012,23.23978714,2012CUB
CUB,2013,22.85074328,2013CUB
CUB,2014,21.29623433,2014CUB
CUB,2015,20.86409957,2015CUB
CUB,2016,19.73784135,2016CUB
CUB,2017,19.7060474,2017CUB
CYP,2010,20.08186599,2010CYP
CYP,2011,20.09096399,2011CYP
CYP,2012,19.22484321,2012CYP
CYP,2013,18.68454574,2013CYP
CYP,2014,18.29352737,2014CYP
CYP,2015,19.10134763,2015CYP
CYP,2016,16.9580216,2016CYP
